item_id,frame_id,gt_index,mask_iou,normalized_mssd,mspd_px
s000025-i000000-p000036,s000025-i000000,5,0.8344606621573514,1.1964481083725345,156.0935593224379
s000025-i000000-p000013,s000025-i000000,12,0.8125241592578276,0.05011044490911015,4.056403164834495
s000025-i000000-p000029,s000025-i000000,20,0.8071484681853889,0.06993373808301268,3.4604128446867173
s000025-i000000-p000000,s000025-i000000,7,0.8026964814205854,0.027249401488701083,3.5058472474182327
s000025-i000000-p000003,s000025-i000000,4,0.7938985455835402,0.04362664652296,5.531865135700043
s000025-i000000-p000031,s000025-i000000,40,0.7903903903903904,0.9495836822702088,105.54774782149998
s000025-i000000-p000018,s000025-i000000,10,0.7873880082701585,0.09587153522280137,5.908465555816992
s000025-i000000-p000033,s000025-i000000,26,0.78,0.08232249974832409,2.8858060893911333
s000025-i000000-p000028,s000025-i000000,13,0.7666190135811294,0.04248006331034634,5.285349784055345
s000025-i000000-p000016,s000025-i000000,14,0.7435090479937058,0.10715004918728267,5.790273336403375
s000025-i000000-p000049,s000025-i000000,2,0.7429266808640097,0.04894621653042974,5.335851323933568
s000025-i000000-p000001,s000025-i000000,8,0.73950233281493,0.06650260694291528,2.585546985220359
s000025-i000000-p000008,s000025-i000000,39,0.7358078602620087,0.07014767617126703,5.856381338669492
s000025-i000000-p000011,s000025-i000000,19,0.7319229554783707,0.08242336324141496,2.1741864222472507
s000025-i000000-p000005,s000025-i000000,1,0.7252047315741583,0.06587705646891091,5.422048657658127
s000025-i000000-p000026,s000025-i000000,45,0.7164948453608248,0.8865215034156569,83.05749604053354
s000025-i000000-p000006,s000025-i000000,6,0.7031828275351591,1.0321063630601546,130.28082455134316
s000025-i000000-p000015,s000025-i000000,48,0.7009708737864078,0.04883260585664771,3.0632826536494133
s000025-i000000-p000021,s000025-i000000,15,0.6975182481751825,1.2037611397565289,166.4848669339408
s000025-i000000-p000034,s000025-i000000,54,0.6959234608985025,0.07091921939483126,5.594081657101892
s000025-i000000-p000004,s000025-i000000,9,0.6823988644428672,0.04775803355807357,3.240717138608952
s000025-i000000-p000009,s000025-i000000,28,0.6773722627737226,0.0455601511748027,3.2884259746862066
s000025-i000000-p000012,s000025-i000000,27,0.6724726775956285,0.101684443714586,10.069545780231385
s000025-i000000-p000010,s000025-i000000,3,0.6660739687055477,0.026424965004107584,2.741854512688633
s000025-i000000-p000025,s000025-i000000,33,0.6648381788261108,1.0075066252765097,138.53662497848964
s000025-i000000-p000030,s000025-i000000,21,0.6604271025573425,0.03500506110962629,4.365198022153203
s000025-i000000-p000044,s000025-i000000,25,0.6587263004375303,0.047363077381754604,4.23002165748645
s000025-i000000-p000040,s000025-i000000,37,0.6518960374946741,0.3465358749622511,41.39744600861447
s000025-i000000-p000007,s000025-i000000,38,0.6483687208700155,1.1070481193312738,126.28569465916641
s000025-i000000-p000037,s000025-i000000,23,0.6421096693177062,0.04600854635393045,5.458340951304668
s000025-i000000-p000020,s000025-i000000,44,0.6134453781512605,0.039062625425583856,5.116026045848686
s000025-i000000-p000017,s000025-i000000,29,0.5874186550976139,0.21195319726779338,17.059176267924613
s000025-i000000-p000019,s000025-i000000,17,0.5858375483487057,0.4933457667146082,57.169051075110424
s000025-i000000-p000032,s000025-i000000,22,0.5531242402139558,0.09732457378806428,3.805614288941675
s000025-i000000-p000027,s000025-i000000,50,0.5301837270341208,0.09420759617390266,6.269257603673102
s000025-i000000-p000046,s000025-i000000,42,0.5216310293386375,1.0407485112607318,116.78705611704844
s000025-i000000-p000022,s000025-i000000,16,0.5130293159609121,0.06616764047857326,7.610713237357562
s000025-i000010-p000005,s000025-i000010,20,0.8540305010893247,0.07014040573585437,2.5558430214628913
s000025-i000010-p000004,s000025-i000010,4,0.8513992905005913,0.07554008158994664,6.186812701309804
s000025-i000010-p000017,s000025-i000010,5,0.8432029795158287,0.04951810926467356,4.292307264128898
