item_id,pose_max_abs,rotation_element_max_abs,translation_max_abs_m,top_score_abs,score_margin_abs
s000010-i000000-p000028,0.00023028254508972168,0.00023028254508972168,5.938112735748291e-06,0.02734375,0.0078125
s000010-i000000-p000029,0.0006950497627258301,0.0006950497627258301,1.730024814605713e-05,0.03125,0.0078125
s000010-i000000-p000030,0.00024271011352539062,0.00024271011352539062,1.0171905159950256e-05,0.001953125,0.0078125
s000010-i000000-p000031,1.3827376961708069,1.3827376961708069,0.00019727647304534912,0.14453125,0.00390625
s000010-i000000-p000032,0.0013206005096435547,0.0013206005096435547,1.9222497940063477e-05,0.0400390625,0.0048828125
s000010-i000000-p000033,0.0025382936000823975,0.0025382936000823975,5.257129669189453e-05,0.0625,0.0
s000010-i000000-p000034,1.7567847967147827,1.7567847967147827,0.0001157522201538086,0.08203125,0.00390625
s000010-i000000-p000035,0.00041428208351135254,0.00041428208351135254,1.1265277862548828e-05,0.013671875,0.001953125
s000010-i000000-p000036,1.3623206615447998,1.3623206615447998,7.009506225585938e-05,0.1640625,0.015625
s000010-i000000-p000037,0.0009650960564613342,0.0009650960564613342,1.5854835510253906e-05,0.0,0.0
s000010-i000010-p000000,1.0222894586622715,1.0222894586622715,0.00018646195530891418,0.09765625,0.0078125
s000010-i000010-p000001,0.00026567280292510986,0.00026567280292510986,9.037554264068604e-06,0.125,0.0
s000010-i000010-p000002,1.3780977725982666,1.3780977725982666,7.194280624389648e-05,0.0615234375,0.0
s000010-i000010-p000003,0.00029224157333374023,0.00029224157333374023,1.0833144187927246e-05,0.03125,0.0
s000010-i000010-p000004,1.9628137350082397,1.9628137350082397,7.687462493777275e-05,0.046875,0.00390625
s000010-i000010-p000005,0.0,0.0,0.0,0.015625,0.015625
s000010-i000010-p000006,0.0026610717177391052,0.0026610717177391052,0.00015185773372650146,0.0,0.0
s000010-i000010-p000007,1.853108823299408,1.853108823299408,2.269446849822998e-05,0.015625,0.0
s000010-i000010-p000008,1.6723992228507996,1.6723992228507996,0.0008248351514339447,0.0,0.0
s000010-i000010-p000009,0.00016124919056892395,0.00016124919056892395,6.9141387939453125e-06,0.03125,0.0
s000010-i000010-p000010,0.0008819103240966797,0.0008819103240966797,1.744180917739868e-05,0.0078125,0.0
s000010-i000010-p000011,1.117584303021431,1.117584303021431,0.00013005733489990234,0.0625,0.015625
s000010-i000010-p000012,0.0003834441304206848,0.0003834441304206848,2.3990869522094727e-06,0.109375,0.0
s000010-i000010-p000013,1.3906440138816833,1.3906440138816833,0.00013629719614982605,0.03125,0.0
s000010-i000010-p000014,1.4110121130943298,1.4110121130943298,0.000677984207868576,0.1875,0.015625
s000010-i000010-p000015,0.0,0.0,0.0,0.0048828125,0.0009765625
s000010-i000010-p000016,3.125518560409546e-05,3.125518560409546e-05,9.909272193908691e-07,0.013671875,0.001953125
s000010-i000010-p000017,0.0019316868856549263,0.0019316868856549263,3.68654727935791e-05,0.03125,0.0
s000010-i000010-p000018,0.021958351135253906,0.021958351135253906,0.00015522167086601257,0.0,0.0
s000010-i000010-p000019,0.0004626959562301636,0.0004626959562301636,1.792609691619873e-05,0.109375,0.015625
s000010-i000010-p000020,1.0718525797128677,1.0718525797128677,6.590783596038818e-05,0.015625,0.0
s000010-i000010-p000021,1.5462157130241394,1.5462157130241394,0.0004106387495994568,0.2421875,0.015625
s000010-i000010-p000022,1.40054053068161,1.40054053068161,2.469867467880249e-05,0.048828125,0.001953125
s000010-i000010-p000023,0.000584430992603302,0.000584430992603302,7.033348083496094e-06,0.04296875,0.00390625
s000010-i000010-p000024,0.0012700259685516357,0.0012700259685516357,1.7523765563964844e-05,0.0859375,0.0078125
s000010-i000010-p000025,1.2987791299819946,1.2987791299819946,2.6613473892211914e-05,0.0390625,0.0078125
s000010-i000010-p000026,0.00033901631832122803,0.00033901631832122803,8.709728717803955e-06,0.03125,0.0
s000010-i000010-p000027,0.0022205114364624023,0.0022205114364624023,2.6881694793701172e-05,0.03515625,0.0
s000010-i000010-p000028,6.16908073425293e-05,6.16908073425293e-05,1.4156103134155273e-06,0.107421875,0.00048828125
s000010-i000010-p000029,1.4245545268058777,1.4245545268058777,0.0011101961135864258,0.005859375,0.005859375
s000010-i000010-p000030,0.000997304916381836,0.000997304916381836,1.3887882232666016e-05,0.01171875,0.0
s000010-i000010-p000031,0.0006740465760231018,0.0006740465760231018,4.589557647705078e-06,0.03125,0.0
s000010-i000010-p000032,0.00036522746086120605,0.00036522746086120605,9.603798389434814e-06,0.03515625,0.0078125
s000010-i000010-p000033,1.2745454609394073,1.2745454609394073,3.299117088317871e-05,0.0234375,0.0078125
s000010-i000010-p000034,8.574128150939941e-05,8.574128150939941e-05,3.2186508178710938e-06,0.1259765625,0.006591796875
s000010-i000010-p000035,1.883282482624054,1.883282482624054,3.5509467124938965e-05,0.109375,0.0078125
s000010-i000010-p000036,1.3902968764305115,1.3902968764305115,3.3542513847351074e-05,0.00390625,0.0
s000010-i000020-p000000,1.9708534479141235,1.9708534479141235,5.408748984336853e-05,0.0078125,0.001953125
s000010-i000020-p000001,1.0837868005037308,1.0837868005037308,9.387731552124023e-05,0.0625,0.0
s000010-i000020-p000002,0.0012186765670776367,0.0012186765670776367,4.038214683532715e-05,0.0625,0.0
s000010-i000020-p000003,1.4099218249320984,1.4099218249320984,3.991276025772095e-05,0.078125,0.0
s000010-i000020-p000004,0.002335458993911743,0.002335458993911743,2.2036954760551453e-05,0.01171875,0.00390625
s000010-i000020-p000005,1.978713035583496,1.978713035583496,8.87364149093628e-06,0.08203125,0.0
s000010-i000020-p000006,0.0015787146985530853,0.0015787146985530853,1.4349818229675293e-05,0.109375,0.0
s000010-i000020-p000007,0.0011765658855438232,0.0011765658855438232,1.9922852516174316e-05,0.0625,0.0
s000010-i000020-p000008,0.001159384846687317,0.001159384846687317,1.1123716831207275e-05,0.0,0.0
s000010-i000020-p000009,0.005454719066619873,0.005454719066619873,4.159659147262573e-05,0.06396484375,0.0009765625
s000010-i000020-p000010,0.0007446259260177612,0.0007446259260177612,2.2619962692260742e-05,0.033203125,0.001953125
s000010-i000020-p000011,0.0002707839012145996,0.0002707839012145996,1.0453164577484131e-05,0.015625,0.0
s000010-i000020-p000012,1.3982588052749634,1.3982588052749634,0.0002541281282901764,0.078125,0.0078125
s000010-i000020-p000013,0.0005701184272766113,0.0005701184272766113,4.380941390991211e-05,0.0625,0.0
s000010-i000020-p000014,1.8251423239707947,1.8251423239707947,0.0003306865692138672,0.0390625,0.0078125
s000010-i000020-p000015,0.0008092164061963558,0.0008092164061963558,2.162158489227295e-05,0.015625,0.0
s000010-i000020-p000016,1.0321303270757198,1.0321303270757198,7.677078247070312e-05,0.03125,0.0
s000010-i000020-p000017,0.00039142370223999023,0.00039142370223999023,5.647540092468262e-06,0.4375,0.03125
s000010-i000020-p000018,7.653236389160156e-05,7.653236389160156e-05,8.344650268554688e-06,0.00390625,0.0
s000010-i000020-p000019,0.003923192620277405,0.003923192620277405,3.9696693420410156e-05,0.1875,0.0
s000010-i000020-p000020,0.0011163502931594849,0.0011163502931594849,9.745359420776367e-06,0.05078125,0.0
s000010-i000020-p000021,0.0016400478780269623,0.0016400478780269623,1.5795230865478516e-05,0.0625,0.0
s000010-i000020-p000022,1.1418353021144867,1.1418353021144867,9.40561294555664e-05,0.296875,0.015625
s000010-i000020-p000023,1.5539222359657288,1.5539222359657288,6.253272294998169e-05,0.0234375,0.0078125
s000010-i000020-p000024,0.004404744133353233,0.004404744133353233,8.207559585571289e-05,0.0859375,0.0
s000010-i000020-p000025,0.009200677275657654,0.009200677275657654,0.00010406970977783203,0.296875,0.0
s000010-i000020-p000026,0.0005033314228057861,0.0005033314228057861,1.7233192920684814e-05,0.00390625,0.0
s000010-i000020-p000027,6.128288805484772e-05,6.128288805484772e-05,7.525086402893066e-07,0.02734375,0.00390625
s000010-i000020-p000028,0.00012299418449401855,0.00012299418449401855,1.1593103408813477e-05,0.140625,0.015625
s000010-i000020-p000029,0.00034296512603759766,0.00034296512603759766,7.361173629760742e-06,0.03125,0.001953125
s000010-i000020-p000030,0.000250205397605896,0.000250205397605896,4.291534423828125e-06,0.01953125,0.0
s000010-i000020-p000031,1.410261332988739,1.410261332988739,0.00010826811194419861,0.046875,0.0078125
s000010-i000020-p000032,0.0007156729698181152,0.0007156729698181152,4.246830940246582e-05,0.0390625,0.0
s000010-i000020-p000033,0.0011835098266601562,0.0011835098266601562,5.1915645599365234e-05,0.02734375,0.0
s000010-i000020-p000034,1.5938559174537659,1.5938559174537659,0.0003603249788284302,0.052734375,0.0029296875
s000010-i000020-p000035,0.001002579927444458,0.001002579927444458,3.0513852834701538e-05,0.0234375,0.005859375
s000010-i000020-p000036,0.8814877867698669,0.8814877867698669,0.0063391923904418945,0.03125,0.0
s000010-i000030-p000000,1.9944977164268494,1.9944977164268494,7.651746273040771e-06,0.01922607421875,0.0003662109375
s000010-i000030-p000001,1.4076758027076721,1.4076758027076721,7.31050968170166e-05,0.0625,0.0
s000010-i000030-p000002,0.0005443841218948364,0.0005443841218948364,6.496906280517578e-06,0.046875,0.0078125
s000010-i000030-p000003,1.4141903519630432,1.4141903519630432,4.787743091583252e-05,0.046875,0.0
s000010-i000030-p000004,0.7218276634812355,0.7218276634812355,0.00033377110958099365,0.05859375,0.00390625
s000010-i000030-p000005,0.00010007619857788086,0.00010007619857788086,1.0371208190917969e-05,0.00390625,0.0
s000010-i000030-p000006,1.9954816699028015,1.9954816699028015,4.0337443351745605e-05,0.015625,0.0
s000010-i000030-p000007,1.400146245956421,1.400146245956421,0.00013533979654312134,0.09375,0.03125
s000010-i000030-p000008,6.794929504394531e-05,6.794929504394531e-05,2.4437904357910156e-06,0.01025390625,0.00048828125
s000010-i000030-p000009,0.01217401959002018,0.01217401959002018,0.00012470781803131104,0.09375,0.03125
s000010-i000030-p000010,0.0007221102714538574,0.0007221102714538574,9.059906005859375e-06,0.00390625,0.005859375
s000010-i000030-p000011,0.004391469061374664,0.004391469061374664,0.00011055171489715576,0.03125,0.0
s000010-i000030-p000012,5.148351192474365e-05,5.148351192474365e-05,2.5033950805664062e-06,0.0703125,0.00390625
s000010-i000030-p000013,0.0022440776228904724,0.0022440776228904724,1.9147992134094238e-05,0.0,0.0
s000010-i000030-p000014,0.000525258481502533,0.000525258481502533,1.3563781976699829e-05,0.28125,0.0
s000010-i000030-p000015,1.8453479409217834,1.8453479409217834,0.000617247074842453,0.01171875,0.001953125
s000010-i000030-p000016,1.6668672561645508,1.6668672561645508,3.295391798019409e-05,0.0625,0.0
s000010-i000030-p000017,0.0008568540215492249,0.0008568540215492249,3.458559513092041e-05,0.1171875,0.0
s000010-i000030-p000018,0.0002796351909637451,0.0002796351909637451,1.8298625946044922e-05,0.046875,0.015625
s000010-i000030-p000019,0.0004987418651580811,0.0004987418651580811,1.329183578491211e-05,0.015625,0.0
s000010-i000030-p000020,8.629262447357178e-05,8.629262447357178e-05,1.125037670135498e-06,0.04296875,0.0078125
s000010-i000030-p000021,1.1541859358549118,1.1541859358549118,6.872415542602539e-05,0.046875,0.0078125
s000010-i000030-p000022,1.685135543346405,1.685135543346405,0.00015878677368164062,0.01953125,0.0
s000010-i000030-p000023,0.0004776269197463989,0.0004776269197463989,1.2010335922241211e-05,0.07421875,0.001953125
s000010-i000030-p000024,0.00045130401849746704,0.00045130401849746704,7.450580596923828e-06,0.03125,0.0
s000010-i000030-p000025,0.00027396809309720993,0.00027396809309720993,6.4373016357421875e-06,0.0006103515625,0.0006103515625
s000010-i000030-p000026,0.005641654133796692,0.005641654133796692,0.00010961294174194336,0.0625,0.0
s000010-i000030-p000027,0.00968402624130249,0.00968402624130249,0.0001361742615699768,0.0234375,0.0
s000010-i000030-p000028,1.4797182083129883,1.4797182083129883,0.00026112794876098633,0.1171875,0.0
s000010-i000030-p000029,3.600120544433594e-05,3.600120544433594e-05,1.3560056686401367e-06,0.015625,0.0
s000010-i000030-p000030,0.001889936625957489,0.001889936625957489,3.813207149505615e-05,0.18017578125,0.00341796875
s000010-i000030-p000031,1.1213091760873795,1.1213091760873795,6.54458999633789e-05,0.0712890625,0.005859375
s000010-i000030-p000032,0.0016881674528121948,0.0016881674528121948,8.404254913330078e-05,0.015625,0.0078125
s000010-i000030-p000033,0.003282785415649414,0.003282785415649414,6.271898746490479e-05,0.0,0.0
s000010-i000030-p000034,1.0658788159489632,1.0658788159489632,2.566911280155182e-05,0.0390625,0.0
s000010-i000040-p000000,0.0005417317152023315,0.0005417317152023315,7.212162017822266e-06,0.046875,0.0
s000010-i000040-p000001,1.4039565324783325,1.4039565324783325,2.8014183044433594e-05,0.0078125,0.0
s000010-i000040-p000002,1.4090250134468079,1.4090250134468079,0.0002079308032989502,0.005859375,0.0
s000010-i000040-p000003,0.000455707311630249,0.000455707311630249,2.034008502960205e-05,0.1875,0.03125
s000010-i000040-p000004,1.9956419467926025,1.9956419467926025,8.549541234970093e-05,0.03515625,0.0
s000010-i000040-p000005,0.0005862116813659668,0.0005862116813659668,2.4297740310430527e-05,0.015625,0.015625
s000010-i000040-p000006,0.0004918426275253296,0.0004918426275253296,8.203089237213135e-06,0.15625,0.046875
s000010-i000040-p000007,1.3984870910644531,1.3984870910644531,0.00013322383165359497,0.025390625,0.0
s000010-i000040-p000008,0.0006648004055023193,0.0006648004055023193,4.803761839866638e-06,0.09375,0.0
s000010-i000040-p000009,0.00045099854469299316,0.00045099854469299316,1.6130506992340088e-05,0.06640625,0.001953125
s000010-i000040-p000010,2.512335777282715e-05,2.512335777282715e-05,7.003545761108398e-07,0.009765625,0.0
s000010-i000040-p000011,0.0022833794355392456,0.0022833794355392456,9.6058938652277e-06,0.0390625,0.0078125
s000010-i000040-p000012,7.570348680019379e-05,7.570348680019379e-05,3.1068921089172363e-06,0.0625,0.0
s000010-i000040-p000013,0.001230090856552124,0.001230090856552124,1.4424324035644531e-05,0.53125,0.03125
s000010-i000040-p000014,0.00040061771869659424,0.00040061771869659424,1.751631498336792e-05,0.03125,0.0
s000010-i000040-p000015,0.0019038021564483643,0.0019038021564483643,7.987022399902344e-06,0.015625,0.015625
s000010-i000040-p000016,0.0002921484410762787,0.0002921484410762787,6.973743438720703e-06,0.0,0.015625
s000010-i000040-p000017,1.129074677824974,1.129074677824974,0.00022161006927490234,0.15625,0.0
s000010-i000040-p000018,1.5086596608161926,1.5086596608161926,3.6872923374176025e-05,0.01171875,0.0
s000010-i000040-p000019,1.704342544078827,1.704342544078827,0.052604048047214746,4.626953125,0.30419921875
s000010-i000040-p000020,0.001824062317609787,0.001824062317609787,3.0472874641418457e-05,0.03125,0.0
s000010-i000040-p000021,1.6098753809928894,1.6098753809928894,1.3910233974456787e-05,0.0,0.0078125
s000010-i000040-p000022,1.8440691232681274,1.8440691232681274,0.00015217065811157227,0.046875,0.0009765625
s000010-i000040-p000023,0.0029321610927581787,0.0029321610927581787,0.00018081627786159515,0.09765625,0.00390625
s000010-i000040-p000024,0.0006714612245559692,0.0006714612245559692,1.6063451766967773e-05,0.0703125,0.00390625
s000010-i000040-p000025,1.343323975801468,1.343323975801468,0.0021508336067199707,1.84375,0.3046875
s000010-i000040-p000026,0.0013188922312110662,0.0013188922312110662,1.1116266250610352e-05,0.0390625,0.00390625
